2020-06-02 09:41:37 trigproc mime-support:all 3.60ubuntu1 <none>
2020-06-02 09:41:37 status half-configured mime-support:all 3.60ubuntu1
2020-06-02 09:41:37 status installed mime-support:all 3.60ubuntu1
2020-06-02 09:41:37 trigproc desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2 <none>
2020-06-02 09:41:37 status half-configured desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-06-02 09:41:37 status installed desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-06-02 09:41:37 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2020-06-02 09:41:37 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2020-06-02 09:41:39 status installed man-db:amd64 2.8.3-2ubuntu0.1
2020-06-04 09:12:31 startup archives unpack
2020-06-04 09:12:50 upgrade remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:50 status half-configured remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:51 status unpacked remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:51 status half-installed remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:51 status half-installed remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:51 status unpacked remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:51 status unpacked remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:51 upgrade remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:51 status half-configured remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:52 status unpacked remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:52 status half-installed remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:52 status half-installed remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:52 status unpacked remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:52 status unpacked remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:53 upgrade remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1 1.2.0-rcgit.29+dfsg-1ubuntu1.2
